"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"915",7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,NA
"916",8.6,0.315,0.4,2.2,0.079,3,6,0.99512,3.27,0.67,11.9,NA
"920",8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,NA
"921",9.6,0.41,0.37,2.3,0.091,10,23,0.99786,3.24,0.56,10.5,NA
"923",8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,NA
"927",9.4,0.24,0.33,2.3,0.061,52,73,0.99786,3.47,0.9,10.2,NA
"931",6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,NA
"936",8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,NA
"937",8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,NA
"939",7.2,0.38,0.38,2.8,0.068,23,42,0.99356,3.34,0.72,12.9,NA
"940",6.2,0.46,0.17,1.6,0.073,7,11,0.99425,3.61,0.54,11.4,NA
"942",9.9,0.27,0.49,5,0.082,9,17,0.99484,3.19,0.52,12.5,NA
"944",9.8,0.5,0.34,2.3,0.094,10,45,0.99864,3.24,0.6,9.7,NA
"948",8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,NA
"949",8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,NA
"950",8.9,0.12,0.45,1.8,0.075,10,21,0.99552,3.41,0.76,11.9,NA
"952",8.3,0.28,0.48,2.1,0.093,6,12,0.99408,3.26,0.62,12.4,NA
"953",8.2,0.31,0.4,2.2,0.058,6,10,0.99536,3.31,0.68,11.2,NA
"955",7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,NA
"956",8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,NA
"957",9,0.36,0.52,2.1,0.111,5,10,0.99568,3.31,0.62,11.3,NA
"958",9.5,0.37,0.52,2,0.088,12,51,0.99613,3.29,0.58,11.1,NA
"960",8,0.59,0.05,2,0.089,12,32,0.99735,3.36,0.61,10,NA
"962",7.1,0.56,0.14,1.6,0.078,7,18,0.99592,3.27,0.62,9.3,NA
"963",6.6,0.57,0.02,2.1,0.115,6,16,0.99654,3.38,0.69,9.5,NA
"964",8.8,0.27,0.39,2,0.1,20,27,0.99546,3.15,0.69,11.2,NA
"970",6.7,0.56,0.09,2.9,0.079,7,22,0.99669,3.46,0.61,10.2,NA
"971",10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,NA
"972",10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,NA
"973",10.1,0.38,0.5,2.4,0.104,6,13,0.99643,3.22,0.65,11.6,NA
"974",8.5,0.34,0.44,1.7,0.079,6,12,0.99605,3.52,0.63,10.7,NA
"975",8.8,0.33,0.41,5.9,0.073,7,13,0.99658,3.3,0.62,12.1,NA
"976",7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,NA
"977",7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,NA
"979",7,0.4,0.32,3.6,0.061,9,29,0.99416,3.28,0.49,11.3,NA
"986",7.4,0.58,0,2,0.064,7,11,0.99562,3.45,0.58,11.3,NA
"990",9.7,0.295,0.4,1.5,0.073,14,21,0.99556,3.14,0.51,10.9,NA
"991",7.7,0.39,0.12,1.7,0.097,19,27,0.99596,3.16,0.49,9.4,NA
"993",6.5,0.4,0.1,2,0.076,30,47,0.99554,3.36,0.48,9.4,NA
"994",7.1,0.34,0.28,2,0.082,31,68,0.99694,3.45,0.48,9.4,NA
"998",5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,NA
"1000",6.4,0.69,0,1.65,0.055,7,12,0.99162,3.47,0.53,12.9,NA
"1001",7.5,0.43,0.3,2.2,0.062,6,12,0.99495,3.44,0.72,11.5,NA
"1004",6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,NA
"1008",9.1,0.3,0.34,2,0.064,12,25,0.99516,3.26,0.84,11.7,NA
"1013",7.7,1.005,0.15,2.1,0.102,11,32,0.99604,3.23,0.48,10,NA
"1014",7.5,0.71,0,1.6,0.092,22,31,0.99635,3.38,0.58,10,NA
"1017",8.9,0.38,0.4,2.2,0.068,12,28,0.99486,3.27,0.75,12.6,NA
"1021",11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,NA
"1022",11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,NA
"1024",8.2,0.32,0.42,2.3,0.098,3,9,0.99506,3.27,0.55,12.3,NA
"1025",7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,NA
"1028",6.4,0.795,0,2.2,0.065,28,52,0.99378,3.49,0.52,11.6,NA
"1029",7.2,0.34,0.21,2.5,0.075,41,68,0.99586,3.37,0.54,10.1,NA
"1030",7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,NA
"1031",7.1,0.59,0,2.1,0.091,9,14,0.99488,3.42,0.55,11.5,NA
"1032",7.3,0.55,0.01,1.8,0.093,9,15,0.99514,3.35,0.58,11,NA
"1033",8.1,0.82,0,4.1,0.095,5,14,0.99854,3.36,0.53,9.6,NA
"1037",7.6,0.31,0.34,2.5,0.082,26,35,0.99356,3.22,0.59,12.5,NA
"1039",8.7,0.41,0.41,6.2,0.078,25,42,0.9953,3.24,0.77,12.6,NA
"1040",8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,NA
"1041",7.4,0.965,0,2.2,0.088,16,32,0.99756,3.58,0.67,10.2,NA
"1042",6.9,0.49,0.19,1.7,0.079,13,26,0.99547,3.38,0.64,9.8,NA
"1043",8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,NA
"1045",6.4,0.39,0.33,3.3,0.046,12,53,0.99294,3.36,0.62,12.2,NA
"1048",7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,NA
"1049",9.3,0.49,0.36,1.7,0.081,3,14,0.99702,3.27,0.78,10.9,NA
"1052",8.5,0.46,0.59,1.4,0.414,16,45,0.99702,3.03,1.34,9.2,NA
"1053",5.6,0.605,0.05,2.4,0.073,19,25,0.99258,3.56,0.55,12.9,NA
"1054",8.3,0.33,0.42,2.3,0.07,9,20,0.99426,3.38,0.77,12.7,NA
"1055",8.2,0.64,0.27,2,0.095,5,77,0.99747,3.13,0.62,9.1,NA
"1058",7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,NA
"1059",9.9,0.53,0.57,2.4,0.093,30,52,0.9971,3.19,0.76,11.6,NA
"1060",8.9,0.48,0.53,4,0.101,3,10,0.99586,3.21,0.59,12.1,NA
"1062",9.1,0.4,0.5,1.8,0.071,7,16,0.99462,3.21,0.69,12.5,NA
"1064",10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,NA
"1065",8.2,0.74,0.09,2,0.067,5,10,0.99418,3.28,0.57,11.8,NA
"1066",7.7,0.61,0.18,2.4,0.083,6,20,0.9963,3.29,0.6,10.2,NA
"1068",11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,NA
"1069",11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,NA
"1071",9.3,0.33,0.45,1.5,0.057,19,37,0.99498,3.18,0.89,11.1,NA
"1072",7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,NA
"1074",8,0.62,0.33,2.7,0.088,16,37,0.9972,3.31,0.58,10.7,NA
"1075",7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,NA
"1076",9.1,0.25,0.34,2,0.071,45,67,0.99769,3.44,0.86,10.2,NA
"1079",8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,NA
"1080",7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,NA
"1081",10.3,0.27,0.56,1.4,0.047,3,8,0.99471,3.16,0.51,11.8,NA
"1082",7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,NA
"1084",8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12,NA
"1086",6.8,0.48,0.08,1.8,0.074,40,64,0.99529,3.12,0.49,9.6,NA
"1088",7.9,0.19,0.42,1.6,0.057,18,30,0.994,3.29,0.69,11.2,NA
"1089",11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,NA
"1090",11.6,0.41,0.54,1.5,0.095,22,41,0.99735,3.02,0.76,9.9,NA
"1093",7,0.54,0.09,2,0.081,10,16,0.99479,3.43,0.59,11.5,NA
"1095",6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,NA
"1096",9.4,0.4,0.47,2.5,0.087,6,20,0.99772,3.15,0.5,10.5,NA
"1097",6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,NA
"1099",8,0.31,0.45,2.1,0.216,5,16,0.99358,3.15,0.81,12.5,NA
"1100",8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,NA
"1101",8.4,0.34,0.42,2.1,0.072,23,36,0.99392,3.11,0.78,12.4,NA
"1102",7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,NA
"1104",7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,NA
"1105",8,0.48,0.34,2.2,0.073,16,25,0.9936,3.28,0.66,12.4,NA
"1106",6.3,0.57,0.28,2.1,0.048,13,49,0.99374,3.41,0.6,12.8,NA
"1107",8.2,0.23,0.42,1.9,0.069,9,17,0.99376,3.21,0.54,12.3,NA
"1112",5.4,0.42,0.27,2,0.092,23,55,0.99471,3.78,0.64,12.3,NA
"1115",5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,NA
"1116",7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,NA
"1117",7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,NA
"1118",7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,NA
"1120",5.6,0.66,0,2.5,0.066,7,15,0.99256,3.52,0.58,12.9,NA
"1123",6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,NA
"1124",10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,NA
"1125",6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,NA
"1127",5.8,0.29,0.26,1.7,0.063,3,11,0.9915,3.39,0.54,13.5,NA
"1131",9.1,0.6,0,1.9,0.058,5,10,0.9977,3.18,0.63,10.4,NA
"1132",5.9,0.19,0.21,1.7,0.045,57,135,0.99341,3.32,0.44,9.5,NA
"1133",7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,NA
"1138",10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,NA
"1139",7.5,0.41,0.15,3.7,0.104,29,94,0.99786,3.14,0.58,9.1,NA
"1142",8.2,0.38,0.32,2.5,0.08,24,71,0.99624,3.27,0.85,11,NA
"1146",8.2,0.2,0.43,2.5,0.076,31,51,0.99672,3.53,0.81,10.4,NA
"1149",7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,NA
"1150",10,0.35,0.47,2,0.061,6,11,0.99585,3.23,0.52,12,NA
"1153",8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,NA
"1154",9.6,0.42,0.35,2.1,0.083,17,38,0.99622,3.23,0.66,11.1,NA
"1155",6.6,0.58,0,2.2,0.1,50,63,0.99544,3.59,0.68,11.4,NA
"1156",8.3,0.6,0.25,2.2,0.118,9,38,0.99616,3.15,0.53,9.8,NA
"1157",8.5,0.18,0.51,1.75,0.071,45,88,0.99524,3.33,0.76,11.8,NA
"1159",6.7,0.41,0.43,2.8,0.076,22,54,0.99572,3.42,1.16,10.6,NA
"1160",10.2,0.41,0.43,2.2,0.11,11,37,0.99728,3.16,0.67,10.8,NA
"1161",10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,NA
"1167",9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,NA
"1168",8.2,0.33,0.39,2.5,0.074,29,48,0.99528,3.32,0.88,12.4,NA
"1169",6.5,0.34,0.27,2.8,0.067,8,44,0.99384,3.21,0.56,12,NA
"1178",7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,NA
"1179",5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,NA
"1180",8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,NA
"1181",8.2,0.35,0.33,2.4,0.076,11,47,0.99599,3.27,0.81,11,NA
"1183",10.2,0.4,0.4,2.5,0.068,41,54,0.99754,3.38,0.86,10.5,NA
"1185",6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,NA
"1187",6.6,0.8,0.03,7.8,0.079,6,12,0.9963,3.52,0.5,12.2,NA
"1189",6.7,0.64,0.23,2.1,0.08,11,119,0.99538,3.36,0.7,10.9,NA
"1190",8.8,0.955,0.05,1.8,0.075,5,19,0.99616,3.3,0.44,9.6,NA
"1191",9.1,0.4,0.57,4.6,0.08,6,20,0.99652,3.28,0.57,12.5,NA
"1193",7.2,0.25,0.37,2.5,0.063,11,41,0.99439,3.52,0.8,12.4,NA
"1194",6.4,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,NA
"1195",7,0.745,0.12,1.8,0.114,15,64,0.99588,3.22,0.59,9.5,NA
"1196",6.2,0.43,0.22,1.8,0.078,21,56,0.99633,3.52,0.6,9.5,NA
"1200",7.9,0.58,0.23,2.3,0.076,23,94,0.99686,3.21,0.58,9.5,NA
"1201",7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,NA
"1202",7.9,0.34,0.36,1.9,0.065,5,10,0.99419,3.27,0.54,11.2,NA
"1203",8.6,0.42,0.39,1.8,0.068,6,12,0.99516,3.35,0.69,11.7,NA
"1206",7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,NA
"1207",7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,NA
"1209",7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,NA
"1210",6.2,0.39,0.43,2,0.071,14,24,0.99428,3.45,0.87,11.2,NA
"1213",6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,NA
"1215",10.2,0.33,0.46,1.9,0.081,6,9,0.99628,3.1,0.48,10.4,NA
"1218",8.2,0.34,0.37,1.9,0.057,43,74,0.99408,3.23,0.81,12,NA
"1219",8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,NA
"1221",10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,NA
"1223",8.1,0.53,0.22,2.2,0.078,33,89,0.99678,3.26,0.46,9.6,NA
"1224",10.5,0.36,0.47,2.2,0.074,9,23,0.99638,3.23,0.76,12,NA
"1227",7.5,0.58,0.03,4.1,0.08,27,46,0.99592,3.02,0.47,9.2,NA
"1228",9,0.58,0.25,2,0.104,8,21,0.99769,3.27,0.72,9.6,NA
"1229",5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,NA
"1230",7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,NA
"1233",7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,NA
"1239",8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,NA
"1240",6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,NA
"1242",9.8,0.37,0.39,2.5,0.079,28,65,0.99729,3.16,0.59,9.8,NA
"1243",9,0.4,0.41,2,0.058,15,40,0.99414,3.22,0.6,12.2,NA
"1244",8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,NA
"1245",5.9,0.29,0.25,13.4,0.067,72,160,0.99721,3.33,0.54,10.3,NA
"1246",7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,NA
"1247",7.4,0.74,0.07,1.7,0.086,15,48,0.99502,3.12,0.48,10,NA
"1251",7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,NA
"1253",7.1,0.72,0,1.8,0.123,6,14,0.99627,3.45,0.58,9.8,NA
"1254",7.9,0.66,0,1.4,0.096,6,13,0.99569,3.43,0.58,9.5,NA
"1256",6.1,0.64,0.02,2.4,0.069,26,46,0.99358,3.47,0.45,11,NA
"1258",7,0.58,0.28,4.8,0.085,12,69,0.99633,3.32,0.7,11,NA
"1260",6.8,0.64,0,2.7,0.123,15,33,0.99538,3.44,0.63,11.3,NA
"1261",8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3,NA
"1263",9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,NA
"1264",8.2,0.78,0,2.2,0.089,13,26,0.9978,3.37,0.46,9.6,NA
"1265",8.5,0.37,0.32,1.8,0.066,26,51,0.99456,3.38,0.72,11.8,NA
"1266",7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,NA
"1267",7.2,0.57,0.05,2.3,0.081,16,36,0.99564,3.38,0.6,10.3,NA
"1270",5.5,0.49,0.03,1.8,0.044,28,87,0.9908,3.5,0.82,14,NA
"1276",8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,NA
"1277",8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,NA
"1278",7,0.69,0,1.9,0.114,3,10,0.99636,3.35,0.6,9.7,NA
"1280",9.8,0.3,0.39,1.7,0.062,3,9,0.9948,3.14,0.57,11.5,NA
"1281",7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,NA
"1282",7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,NA
"1283",7.9,0.765,0,2,0.084,9,22,0.99619,3.33,0.68,10.9,NA
"1284",8.7,0.63,0.28,2.7,0.096,17,69,0.99734,3.26,0.63,10.2,NA
"1286",11.3,0.37,0.5,1.8,0.09,20,47,0.99734,3.15,0.57,10.5,NA
"1288",8,0.6,0.08,2.6,0.056,3,7,0.99286,3.22,0.37,13,NA
"1291",7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,NA
"1295",8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,NA
"1296",6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,NA
"1297",6.6,0.63,0,4.3,0.093,51,77.5,0.99558,3.2,0.45,9.5,NA
"1298",7.2,0.53,0.14,2.1,0.064,15,29,0.99323,3.35,0.61,12.1,NA
"1299",5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,NA
"1300",7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,NA
"1303",9.1,0.37,0.32,2.1,0.064,4,15,0.99576,3.3,0.8,11.2,NA
"1304",8,0.28,0.44,1.8,0.081,28,68,0.99501,3.36,0.66,11.2,NA
"1305",7.6,0.79,0.21,2.3,0.087,21,68,0.9955,3.12,0.44,9.2,NA
"1313",8,1.18,0.21,1.9,0.083,14,41,0.99532,3.34,0.47,10.5,NA
"1314",7,0.36,0.21,2.3,0.086,20,65,0.99558,3.4,0.54,10.1,NA
"1315",7,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,NA
"1317",5.4,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,NA
"1319",7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,NA
"1320",9.1,0.76,0.68,1.7,0.414,18,64,0.99652,2.9,1.33,9.1,NA
"1325",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,NA
"1328",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,NA
"1329",6.5,0.52,0.11,1.8,0.073,13,38,0.9955,3.34,0.52,9.3,NA
"1330",7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,NA
"1331",7.4,0.6,0.26,2.1,0.083,17,91,0.99616,3.29,0.56,9.8,NA
"1332",7.8,0.87,0.26,3.8,0.107,31,67,0.99668,3.26,0.46,9.2,NA
"1333",8.4,0.39,0.1,1.7,0.075,6,25,0.99581,3.09,0.43,9.7,NA
"1334",9.1,0.775,0.22,2.2,0.079,12,48,0.9976,3.18,0.51,9.6,NA
"1336",6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,NA
"1339",6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,NA
"1340",7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,NA
"1341",7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,NA
"1342",7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,NA
"1343",7.6,0.54,0.02,1.7,0.085,17,31,0.99589,3.37,0.51,10.4,NA
"1345",11.5,0.42,0.48,2.6,0.077,8,20,0.99852,3.09,0.53,11,NA
"1346",8.2,0.44,0.24,2.3,0.063,10,28,0.99613,3.25,0.53,10.2,NA
"1347",6.1,0.59,0.01,2.1,0.056,5,13,0.99472,3.52,0.56,11.4,NA
"1348",7.2,0.655,0.03,1.8,0.078,7,12,0.99587,3.34,0.39,9.5,NA
"1350",6.9,0.57,0,2.8,0.081,21,41,0.99518,3.41,0.52,10.8,NA
"1351",9,0.6,0.29,2,0.069,32,73,0.99654,3.34,0.57,10,NA
"1352",7.2,0.62,0.01,2.3,0.065,8,46,0.99332,3.32,0.51,11.8,NA
"1354",7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,NA
"1355",7.2,0.58,0.03,2.3,0.077,7,28,0.99568,3.35,0.52,10,NA
"1356",6.1,0.32,0.25,1.8,0.086,5,32,0.99464,3.36,0.44,10.1,NA
"1358",7.3,0.43,0.24,2.5,0.078,27,67,0.99648,3.6,0.59,11.1,NA
"1359",7.4,0.64,0.17,5.4,0.168,52,98,0.99736,3.28,0.5,9.5,NA
"1360",11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.0333333333333,NA
"1362",8.3,0.85,0.14,2.5,0.093,13,54,0.99724,3.36,0.54,10.1,NA
"1363",11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.0333333333333,NA
"1364",8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,NA
"1365",7.2,0.605,0.02,1.9,0.096,10,31,0.995,3.46,0.53,11.8,NA
"1366",7.8,0.5,0.09,2.2,0.115,10,42,0.9971,3.18,0.62,9.5,NA
"1367",7.3,0.74,0.08,1.7,0.094,10,45,0.99576,3.24,0.5,9.8,NA
"1368",6.9,0.54,0.3,2.2,0.088,9,105,0.99725,3.25,1.18,10.5,NA
"1370",6.6,0.61,0,1.6,0.069,4,8,0.99396,3.33,0.37,10.4,NA
"1371",8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2,NA
"1373",8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2,NA
"1377",8.2,0.885,0.2,1.4,0.086,7,31,0.9946,3.11,0.46,10,NA
"1380",7.5,0.57,0.02,2.6,0.077,11,35,0.99557,3.36,0.62,10.8,NA
"1382",6.8,0.83,0.09,1.8,0.074,4,25,0.99534,3.38,0.45,9.6,NA
"1383",8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,NA
"1385",7.1,0.755,0.15,1.8,0.107,20,84,0.99593,3.19,0.5,9.5,NA
"1386",8,0.81,0.25,3.4,0.076,34,85,0.99668,3.19,0.42,9.2,NA
"1387",7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,NA
"1388",7.4,0.64,0.07,1.8,0.1,8,23,0.9961,3.3,0.58,9.6,NA
"1389",6.6,0.64,0.31,6.1,0.083,7,49,0.99718,3.35,0.68,10.3,NA
"1390",6.7,0.48,0.02,2.2,0.08,36,111,0.99524,3.1,0.53,9.7,NA
"1391",6,0.49,0,2.3,0.068,15,33,0.99292,3.58,0.59,12.5,NA
"1392",8,0.64,0.22,2.4,0.094,5,33,0.99612,3.37,0.58,11,NA
"1394",8,0.52,0.25,2,0.078,19,59,0.99612,3.3,0.48,10.2,NA
"1395",6.4,0.57,0.14,3.9,0.07,27,73,0.99669,3.32,0.48,9.2,NA
"1397",8.7,0.675,0.1,1.6,0.09,4,11,0.99745,3.31,0.65,9.55,NA
"1398",7.3,0.59,0.26,2,0.08,17,104,0.99584,3.28,0.52,9.9,NA
"1400",7.2,0.67,0,2.2,0.068,10,24,0.9956,3.42,0.72,11.1,NA
"1401",7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,NA
"1403",7.6,0.3,0.42,2,0.052,6,24,0.9963,3.44,0.82,11.9,NA
"1404",7.2,0.33,0.33,1.7,0.061,3,13,0.996,3.23,1.1,10,NA
"1408",6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,NA
"1409",8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4,NA
"1410",6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,NA
"1411",6.6,0.96,0,1.8,0.082,5,16,0.9936,3.5,0.44,11.9,NA
"1412",6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6,NA
"1414",9.9,0.57,0.25,2,0.104,12,89,0.9963,3.04,0.9,10.1,NA
"1416",6.2,0.58,0,1.6,0.065,8,18,0.9966,3.56,0.84,9.4,NA
"1418",7.3,0.34,0.33,2.5,0.064,21,37,0.9952,3.35,0.77,12.1,NA
"1419",7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,NA
"1421",7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,NA
"1424",6.4,0.53,0.09,3.9,0.123,14,31,0.9968,3.5,0.67,11,NA
"1425",8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,NA
"1426",8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,NA
"1427",7.7,0.23,0.37,1.8,0.046,23,60,0.9971,3.41,0.71,12.1,NA
"1431",7.4,0.41,0.24,1.8,0.066,18,47,0.9956,3.37,0.62,10.4,NA
"1432",7.6,0.43,0.31,2.1,0.069,13,74,0.9958,3.26,0.54,9.9,NA
"1433",5.9,0.44,0,1.6,0.042,3,11,0.9944,3.48,0.85,11.7,NA
"1435",10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,NA
"1436",10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,NA
"1437",10,0.38,0.38,1.6,0.169,27,90,0.99914,3.15,0.65,8.5,NA
"1438",6.8,0.915,0.29,4.8,0.07,15,39,0.99577,3.53,0.54,11.1,NA
"1439",7,0.59,0,1.7,0.052,3,8,0.996,3.41,0.47,10.3,NA
